# x, Trad, Tgas
5.194527437095e-03, 1.071364381594e+00, 1.011314161365e+00
5.225355493102e-03, 1.073258061839e+00, 1.011683172000e+00
5.256183549109e-03, 1.075134961153e+00, 1.011985522716e+00
5.287011605115e-03, 1.077116526806e+00, 1.012388518941e+00
5.317839661122e-03, 1.079083515557e+00, 1.012692144243e+00
5.348667717128e-03, 1.081156104909e+00, 1.013112779078e+00
5.379495773135e-03, 1.083216440471e+00, 1.013458318703e+00
5.410323829141e-03, 1.085383346219e+00, 1.013890973987e+00
5.441151885148e-03, 1.087540264836e+00, 1.014243502428e+00
5.471979941154e-03, 1.089804747495e+00, 1.014717871732e+00
5.502807997161e-03, 1.092061597935e+00, 1.015098044985e+00
5.533636053167e-03, 1.094426965711e+00, 1.015577458965e+00
5.564464109174e-03, 1.096786994081e+00, 1.015988627829e+00
5.595292165180e-03, 1.099256610816e+00, 1.016508935531e+00
5.626120221187e-03, 1.101723141406e+00, 1.016932436116e+00
5.656948277193e-03, 1.104300304152e+00, 1.017474062899e+00
5.687776333200e-03, 1.106876642955e+00, 1.017940219351e+00
5.718604389206e-03, 1.109564747938e+00, 1.018508767771e+00
5.749432445213e-03, 1.112254183303e+00, 1.018994679280e+00
5.780260501219e-03, 1.115056536828e+00, 1.019600918177e+00
5.811088557226e-03, 1.117862397341e+00, 1.020119288108e+00
5.841916613232e-03, 1.120782268780e+00, 1.020750788286e+00
5.872744669239e-03, 1.123707797553e+00, 1.021310190701e+00
5.903572725245e-03, 1.126748462256e+00, 1.021977681621e+00
5.934400781252e-03, 1.129796942625e+00, 1.022557223886e+00
5.965228837258e-03, 1.132961569826e+00, 1.023269275302e+00
5.996056893265e-03, 1.136136300911e+00, 1.023903086450e+00
6.026884949271e-03, 1.139428109384e+00, 1.024631851177e+00
6.057713005278e-03, 1.142732287489e+00, 1.025292202016e+00
6.088541061284e-03, 1.146154352893e+00, 1.026093881372e+00
6.119369117291e-03, 1.149591304729e+00, 1.026799500508e+00
6.150197173297e-03, 1.153146682500e+00, 1.027603156206e+00
6.181025229304e-03, 1.156719472934e+00, 1.028363209845e+00
6.211853285310e-03, 1.160411173841e+00, 1.029253084151e+00
6.242681341317e-03, 1.164123007237e+00, 1.030035874884e+00
6.273509397323e-03, 1.167953840422e+00, 1.030937241301e+00
6.304337453330e-03, 1.171807678443e+00, 1.031807058787e+00
6.335165509336e-03, 1.175780585835e+00, 1.032782311125e+00
6.365993565343e-03, 1.179779419987e+00, 1.033659434931e+00
6.396821621349e-03, 1.183897010631e+00, 1.034679934597e+00
6.427649677356e-03, 1.188043649929e+00, 1.035658737875e+00
6.458477733362e-03, 1.192308696691e+00, 1.036723641749e+00
6.489305789369e-03, 1.196605820507e+00, 1.037722781221e+00
6.520133845375e-03, 1.201020815566e+00, 1.038876970833e+00
6.550961901382e-03, 1.205471151160e+00, 1.039962382128e+00
6.581789957388e-03, 1.210038687981e+00, 1.041131432760e+00
6.612618013395e-03, 1.214644599759e+00, 1.042281960515e+00
6.643446069401e-03, 1.219367116472e+00, 1.043570466718e+00
6.674274125408e-03, 1.224131045336e+00, 1.044769743219e+00
6.705102181414e-03, 1.229010795821e+00, 1.046074155886e+00
6.735930237421e-03, 1.233934797035e+00, 1.047389383310e+00
6.766758293427e-03, 1.238974176379e+00, 1.048817262442e+00
6.797586349434e-03, 1.244060440047e+00, 1.050146925461e+00
6.828414405440e-03, 1.249261484761e+00, 1.051616032591e+00
6.859242461447e-03, 1.254511931095e+00, 1.053106462241e+00
