# x, Trad, Tgas
5.152587890625e-03, 1.069609737813e+00, 1.011084108179e+00
5.183349609375e-03, 1.071328607802e+00, 1.011299006286e+00
5.214111328125e-03, 1.073291786371e+00, 1.011742344119e+00
5.244873046875e-03, 1.075095667244e+00, 1.011969816767e+00
5.275634765625e-03, 1.077148288780e+00, 1.012439051454e+00
5.306396484375e-03, 1.079040448564e+00, 1.012679815679e+00
5.337158203125e-03, 1.081185661579e+00, 1.013176425511e+00
5.367919921875e-03, 1.083169404270e+00, 1.013431260653e+00
5.398681640625e-03, 1.085410407665e+00, 1.013956855365e+00
5.429443359375e-03, 1.087489085862e+00, 1.014226612457e+00
5.460205078125e-03, 1.089829072450e+00, 1.014782873418e+00
5.490966796875e-03, 1.092006029548e+00, 1.015068373449e+00
5.521728515625e-03, 1.094448170018e+00, 1.015657071926e+00
5.552490234375e-03, 1.096726799061e+00, 1.015959217847e+00
5.583251953125e-03, 1.099274304578e+00, 1.016582312345e+00
5.614013671875e-03, 1.101658046513e+00, 1.016902117568e+00
5.644775390625e-03, 1.104314104093e+00, 1.017561564778e+00
5.675537109375e-03, 1.106806366315e+00, 1.017900016550e+00
5.706298828125e-03, 1.109574140698e+00, 1.018597792632e+00
5.737060546875e-03, 1.112178340125e+00, 1.018956004825e+00
5.767822265625e-03, 1.115061042871e+00, 1.019694452287e+00
5.798583984375e-03, 1.117780643003e+00, 1.020073629461e+00
5.829345703125e-03, 1.120781507767e+00, 1.020855206114e+00
5.860107421875e-03, 1.123619950965e+00, 1.021256423652e+00
5.890869140625e-03, 1.126742113068e+00, 1.022083394894e+00
5.921630859375e-03, 1.129702714476e+00, 1.022508047468e+00
5.952392578125e-03, 1.132949211879e+00, 1.023383046659e+00
5.983154296875e-03, 1.136035302620e+00, 1.023832479283e+00
6.013916015625e-03, 1.139409261335e+00, 1.024758464831e+00
6.044677734375e-03, 1.142624246941e+00, 1.025234310401e+00
6.075439453125e-03, 1.146128716865e+00, 1.026209911059e+00
6.106201171875e-03, 1.149475829919e+00, 1.026722733040e+00
6.136962890625e-03, 1.153113724893e+00, 1.027739150956e+00
6.167724609375e-03, 1.156596168561e+00, 1.028294070299e+00
6.198486328125e-03, 1.160370468943e+00, 1.029373307141e+00
6.229248046875e-03, 1.163991467889e+00, 1.029960570586e+00
6.260009765625e-03, 1.167904998173e+00, 1.031073000972e+00
6.290771484375e-03, 1.171667583471e+00, 1.031738862299e+00
6.321533203125e-03, 1.175723092313e+00, 1.032903952177e+00
6.352294921875e-03, 1.179630223625e+00, 1.033580361342e+00
6.383056640625e-03, 1.183830336497e+00, 1.034822803034e+00
6.413818359375e-03, 1.187884993246e+00, 1.035588426947e+00
6.444580078125e-03, 1.192232292867e+00, 1.036842183343e+00
6.475341796875e-03, 1.196437165689e+00, 1.037649126033e+00
6.506103515625e-03, 1.200934088393e+00, 1.039025671797e+00
