# x, vel
2.968505859375e-03, 5.189508227417e+07
2.999267578125e-03, 5.189497691258e+07
3.030029296875e-03, 5.189475917195e+07
3.060791015625e-03, 5.189464764567e+07
3.091552734375e-03, 5.189441727314e+07
3.122314453125e-03, 5.189429924683e+07
3.153076171875e-03, 5.189405505031e+07
3.183837890625e-03, 5.189392985287e+07
3.214599609375e-03, 5.189367150408e+07
3.245361328125e-03, 5.189353912570e+07
3.276123046875e-03, 5.189326591357e+07
3.306884765625e-03, 5.189312559091e+07
3.337646484375e-03, 5.189283597692e+07
3.368408203125e-03, 5.189268733926e+07
3.399169921875e-03, 5.189238070833e+07
3.429931640625e-03, 5.189222365664e+07
3.460693359375e-03, 5.189189892273e+07
3.491455078125e-03, 5.189173268930e+07
3.522216796875e-03, 5.189138889107e+07
3.552978515625e-03, 5.189121290992e+07
3.583740234375e-03, 5.189084911679e+07
3.614501953125e-03, 5.189066236305e+07
3.645263671875e-03, 5.189027725243e+07
3.676025390625e-03, 5.189007967176e+07
3.706787109375e-03, 5.188967244815e+07
3.737548828125e-03, 5.188946340127e+07
3.768310546875e-03, 5.188903136060e+07
3.799072265625e-03, 5.188880994036e+07
3.829833984375e-03, 5.188835269300e+07
3.860595703125e-03, 5.188811888611e+07
3.891357421875e-03, 5.188763522119e+07
3.922119140625e-03, 5.188738713481e+07
3.952880859375e-03, 5.188687497282e+07
3.983642578125e-03, 5.188661199193e+07
4.014404296875e-03, 5.188607060505e+07
4.045166015625e-03, 5.188579229235e+07
4.075927734375e-03, 5.188521861981e+07
4.106689453125e-03, 5.188492416667e+07
4.137451171875e-03, 5.188431620408e+07
4.168212890625e-03, 5.188400513367e+07
4.198974609375e-03, 5.188336151958e+07
4.229736328125e-03, 5.188303208705e+07
4.260498046875e-03, 5.188235128791e+07
4.291259765625e-03, 5.188200200583e+07
4.322021484375e-03, 5.188128178890e+07
4.352783203125e-03, 5.188091180693e+07
4.383544921875e-03, 5.188014888369e+07
4.414306640625e-03, 5.187975798086e+07
4.445068359375e-03, 5.187894943655e+07
4.475830078125e-03, 5.187853632343e+07
4.506591796875e-03, 5.187767998308e+07
4.537353515625e-03, 5.187724264048e+07
4.568115234375e-03, 5.187633708574e+07
4.598876953125e-03, 5.187587345092e+07
4.629638671875e-03, 5.187491552077e+07
4.660400390625e-03, 5.187442409967e+07
4.691162109375e-03, 5.187341019578e+07
4.721923828125e-03, 5.187289013327e+07
4.752685546875e-03, 5.187181635614e+07
4.783447265625e-03, 5.187126605104e+07
4.814208984375e-03, 5.187012918983e+07
4.844970703125e-03, 5.186954697540e+07
4.875732421875e-03, 5.186834374929e+07
4.906494140625e-03, 5.186772726688e+07
4.937255859375e-03, 5.186645334209e+07
4.968017578125e-03, 5.186580069997e+07
4.998779296875e-03, 5.186445232816e+07
5.029541015625e-03, 5.186376164582e+07
5.060302734375e-03, 5.186233445403e+07
5.091064453125e-03, 5.186160324032e+07
5.121826171875e-03, 5.186009244183e+07
5.152587890625e-03, 5.185931830118e+07
5.183349609375e-03, 5.185771887768e+07
5.214111328125e-03, 5.185689956357e+07
5.244873046875e-03, 5.185520682249e+07
5.275634765625e-03, 5.185433963544e+07
5.306396484375e-03, 5.185254763737e+07
5.337158203125e-03, 5.185162954584e+07
5.367919921875e-03, 5.184973192542e+07
5.398681640625e-03, 5.184876109736e+07
5.429443359375e-03, 5.184675230304e+07
5.460205078125e-03, 5.184572506813e+07
5.490966796875e-03, 5.184359886099e+07
5.521728515625e-03, 5.184250988658e+07
5.552490234375e-03, 5.184026089010e+07
5.583251953125e-03, 5.183910728469e+07
5.614013671875e-03, 5.183672862525e+07
5.644775390625e-03, 5.183550780171e+07
5.675537109375e-03, 5.183298751988e+07
5.706298828125e-03, 5.183169607132e+07
5.737060546875e-03, 5.182902517344e+07
5.767822265625e-03, 5.182766025445e+07
5.798583984375e-03, 5.182483622022e+07
5.829345703125e-03, 5.182339048483e+07
5.860107421875e-03, 5.182040219094e+07
5.890869140625e-03, 5.181887153252e+07
5.921630859375e-03, 5.181570304228e+07
5.952392578125e-03, 5.181408449075e+07
5.983154296875e-03, 5.181074011737e+07
6.013916015625e-03, 5.180901918712e+07
6.044677734375e-03, 5.180547752518e+07
6.075439453125e-03, 5.180366773985e+07
6.106201171875e-03, 5.179990758207e+07
6.136962890625e-03, 5.179798613460e+07
6.167724609375e-03, 5.179401660262e+07
6.198486328125e-03, 5.179198542188e+07
6.229248046875e-03, 5.178777808384e+07
6.260009765625e-03, 5.178563476269e+07
6.290771484375e-03, 5.178118249621e+07
6.321533203125e-03, 5.177890590931e+07
6.352294921875e-03, 5.177418551619e+07
6.383056640625e-03, 5.177178052343e+07
6.413818359375e-03, 5.176679623224e+07
6.444580078125e-03, 5.176425353183e+07
6.475341796875e-03, 5.175897793829e+07
6.506103515625e-03, 5.175628116537e+07
6.536865234375e-03, 5.175068793236e+07
6.567626953125e-03, 5.174783357627e+07
6.598388671875e-03, 5.174192729395e+07
6.629150390625e-03, 5.173891099082e+07
6.659912109375e-03, 5.173265923724e+07
6.690673828125e-03, 5.172946424740e+07
6.721435546875e-03, 5.172283554029e+07
6.752197265625e-03, 5.171945447975e+07
6.782958984375e-03, 5.171244356078e+07
